,NDC,Storage_Condition,Reason,Status,created_date,GUID,execution_time,prompt_id,error_msg,response_status_code,batch_id,img_loc,ProprietaryName,DocID,SetID,S3Key,NDC11
10,42023-0104-01,Refrigerate,Temperature found within range,success,11/16/2023 18:20:09,b8bc5149-a213-4202-b9a9-6f76b74ae0f3,8.906745672225952,prompt 1,,,11162023,SPL Files/2017/11/27/1e91a67c-1694-4523-9548-58f7a8871134/aplisol-1.jpg,Aplisol,d8054592-defc-4aa5-9392-700090b9fb20,1e91a67c-1694-4523-9548-58f7a8871134,SPL Files/2017/11/27/1e91a67c-1694-4523-9548-58f7a8871134/d8054592-defc-4aa5-9392-700090b9fb20.xml,42023010401
11,42023-0104-05,Refrigerate,Temperature found within range,success,11/16/2023 18:20:09,4f3fe317-2757-4531-9107-123c934bb726,9.036174297332764,prompt 1,,,11162023,SPL Files/2017/11/27/1e91a67c-1694-4523-9548-58f7a8871134/aplisol-2.jpg,Aplisol,d8054592-defc-4aa5-9392-700090b9fb20,1e91a67c-1694-4523-9548-58f7a8871134,SPL Files/2017/11/27/1e91a67c-1694-4523-9548-58f7a8871134/d8054592-defc-4aa5-9392-700090b9fb20.xml,42023010405
12,43353-0263-53,Room Temperature,Temperature found within range,success,11/16/2023 18:20:09,6ec2c8cd-5cf3-40a8-962f-45191f822ce8,6.842543601989746,prompt 1,,,11162023,SPL Files/2017/11/28/fc26526a-101c-41ca-8116-3e9e33cb1600/43353-263.jpg,Lyrica,46aed802-1b67-48f3-bf67-5a1c7a49cc46,fc26526a-101c-41ca-8116-3e9e33cb1600,SPL Files/2017/11/28/fc26526a-101c-41ca-8116-3e9e33cb1600/46aed802-1b67-48f3-bf67-5a1c7a49cc46.xml,43353026353
13,43353-0264-53,Room Temperature,Temperature found within range,success,11/16/2023 18:20:09,13958e98-255c-45c5-85af-a8c5b9dff16b,6.82292628288269,prompt 1,,,11162023,SPL Files/2017/11/28/fc26526a-101c-41ca-8116-3e9e33cb1600/43353-264.jpg,Lyrica,46aed802-1b67-48f3-bf67-5a1c7a49cc46,fc26526a-101c-41ca-8116-3e9e33cb1600,SPL Files/2017/11/28/fc26526a-101c-41ca-8116-3e9e33cb1600/46aed802-1b67-48f3-bf67-5a1c7a49cc46.xml,43353026453
1,43353-0285-30,Room Temperature,Temperature found within range,success,11/16/2023 18:20:09,6cb6464c-d246-4db4-8249-c86befd973cf,5.911758184432983,prompt 1,,,11162023,SPL Files/2017/10/23/e985e201-2fb3-4781-9790-a1a3db1ae2a1/43353-285-30.jpg,Oxybutynin Chloride Extended Release,9eda2c93-de21-45ec-a9dc-1329d6d44be7,e985e201-2fb3-4781-9790-a1a3db1ae2a1,SPL Files/2017/10/23/e985e201-2fb3-4781-9790-a1a3db1ae2a1/9eda2c93-de21-45ec-a9dc-1329d6d44be7.xml,43353028530
14,43353-0413-70,Room Temperature,Temperature found within range,success,11/16/2023 18:20:09,f9369012-a7a1-4495-b849-50fb131c96c3,16.173969984054565,prompt 1,,,11162023,SPL Files/2017/11/28/fc26526a-101c-41ca-8116-3e9e33cb1600/43353-413.jpg,Lyrica,46aed802-1b67-48f3-bf67-5a1c7a49cc46,fc26526a-101c-41ca-8116-3e9e33cb1600,SPL Files/2017/11/28/fc26526a-101c-41ca-8116-3e9e33cb1600/46aed802-1b67-48f3-bf67-5a1c7a49cc46.xml,43353041370
15,43353-0414-70,Room Temperature,Temperature found within range,success,11/16/2023 18:20:09,ce66825e-aa04-4cf8-9a72-941ab998a9ad,6.356260299682617,prompt 1,,,11162023,SPL Files/2017/11/28/fc26526a-101c-41ca-8116-3e9e33cb1600/43353-414.jpg,Lyrica,46aed802-1b67-48f3-bf67-5a1c7a49cc46,fc26526a-101c-41ca-8116-3e9e33cb1600,SPL Files/2017/11/28/fc26526a-101c-41ca-8116-3e9e33cb1600/46aed802-1b67-48f3-bf67-5a1c7a49cc46.xml,43353041470
16,43353-0675-53,Room Temperature,Temperature found within range,success,11/16/2023 18:20:09,dd8f8c87-d0c8-45b4-accd-dc98f044d7a4,16.984805822372437,prompt 1,,,11162023,SPL Files/2017/11/28/fc26526a-101c-41ca-8116-3e9e33cb1600/43353-675.jpg,Lyrica,46aed802-1b67-48f3-bf67-5a1c7a49cc46,fc26526a-101c-41ca-8116-3e9e33cb1600,SPL Files/2017/11/28/fc26526a-101c-41ca-8116-3e9e33cb1600/46aed802-1b67-48f3-bf67-5a1c7a49cc46.xml,43353067553
17,43353-0840-53,Room Temperature,Temperature found within range,success,11/16/2023 18:20:09,c69d344c-af89-423c-9708-3c5d5332c093,6.485749006271362,prompt 1,,,11162023,SPL Files/2017/11/28/fc26526a-101c-41ca-8116-3e9e33cb1600/43353-840.jpg,Lyrica,46aed802-1b67-48f3-bf67-5a1c7a49cc46,fc26526a-101c-41ca-8116-3e9e33cb1600,SPL Files/2017/11/28/fc26526a-101c-41ca-8116-3e9e33cb1600/46aed802-1b67-48f3-bf67-5a1c7a49cc46.xml,43353084053
18,43353-0876-53,Room Temperature,Temperature found within range,success,11/16/2023 18:20:09,d8b37248-9a56-4f0c-a0bc-8dbd2109c896,6.702144145965576,prompt 1,,,11162023,SPL Files/2017/11/28/fc26526a-101c-41ca-8116-3e9e33cb1600/43353-876.jpg,Lyrica,46aed802-1b67-48f3-bf67-5a1c7a49cc46,fc26526a-101c-41ca-8116-3e9e33cb1600,SPL Files/2017/11/28/fc26526a-101c-41ca-8116-3e9e33cb1600/46aed802-1b67-48f3-bf67-5a1c7a49cc46.xml,43353087653
